comment_id,video_id,author_channel_id,comment_text,comment_date,like_count,clean_text,word_count,language,confidence
UgynmG_gboYtIGVNc_94AaABAg,CR6zXU0eixw,UCDoP33Ujv8eng6xUb7a8Blw,Am I gonna die,2025-03-18T09:00:27Z,0,Am I gonna die,4,it,0.8571399292444899
UgyTLQ6yNhUeexrbdkF4AaABAg,CR6zXU0eixw,UCmPhHd3ki_9faE-dMN6hZLg,good job man,2023-09-11T02:14:16Z,1,good job man,3,so,0.9999978972152299
UgxRIYsPe1kSLAZ8cfl4AaABAg,tFXZCdSoTvE,UCVFna6gLGlJzH8g2SCqmaiQ,Allergy ki koi dawai,2026-02-13T16:20:25Z,0,Allergy ki koi dawai,4,id,0.8571394517993535
UgxEpUrU7vvUiXMH8Zh4AaABAg,tFXZCdSoTvE,UCct9PKQOZag1kiTSpITI9zw,हिंदीत सांगणं बे,2026-02-03T06:45:58Z,0,हिंदीत सांगणं बे,3,mr,0.999994252234887
UgyWbiy6Pfexky-bVGJ4AaABAg,tFXZCdSoTvE,UCx6pHFc2dO7ghTBgLuRM-Bw,Zack d films ahh,2025-12-20T02:50:24Z,0,Zack d films ahh,4,sv,0.8571388121231798
Ugx_dRzEB1PYR8RLuNN4AaABAg,tFXZCdSoTvE,UCnCtcFVSvmJpXdId40hW1dg,ano ano ang,2025-12-18T04:59:08Z,0,ano ano ang,3,tl,0.9999963030342047
UgyqNv0S-LOJl0msKuN4AaABAg,tFXZCdSoTvE,UCYT2rA-zM_jyU8aThCw7seQ,IM SO ITCHY OMG,2025-12-17T00:58:02Z,0,IM SO ITCHY OMG,4,hr,0.9999949269058797
Ugzg6Gbw3tr-I82Os7d4AaABAg,tFXZCdSoTvE,UC_ZM-zJ2J4t8jSS1C3aDZrQ,Planet Ayurveda Neem Capsules  ई नीम कैप्सूल हमर स्किन के पूरा बदल देने अछि – बहुत साफ आ चमकदार!,2025-12-16T08:33:56Z,0,Planet Ayurveda Neem Capsules ई नीम कैप्सूल हमर स्किन के पूरा बदल देने अछि – बहुत साफ आ चमकदार!,19,hi,0.9999950826923913
UgzCeZyIuozRW67Hv7h4AaABAg,tFXZCdSoTvE,UCyJUSqm4SN-b65hV9Vqzz3w,How do o stop it,2025-10-30T22:18:17Z,0,How do o stop it,5,pl,0.9999976242085424
UgyvsVR8iE37RvOZUPZ4AaABAg,tFXZCdSoTvE,UCeqdxSVt53EaeG1rSDi5qgA,Aku alergi apa ya gatalnya yallah..,2025-09-07T17:10:00Z,0,Aku alergi apa ya gatalnya yallah..,6,id,0.9999941299707984
