comment_id,video_id,author_channel_id,comment_text,comment_date,like_count,clean_text,word_count,language,confidence,topic_id
UgxF_4m4qaiHkrDv78p4AaABAg,CR6zXU0eixw,UCX_VjEEIfq6beNjBtcOSJqw,"His explanations are incomplete, there are many causes and allergies are just one of them, though it's the easiest to diagnose.

It can be a sign of a problem with the immune system, which is harder to diagnose. I've never found the cause of mine, tested negative for allergies. 

If I had to mention 2 specific problems people miss, it would be celiac disease and alphagal syndrome. 

Celiac is the autoimmune disease where you can't have gluten, and it doesn't trigger an allergy test.

Alphagal is an allergy to a sugar molecule in mammal meat that you get after a tickbite. What's unique about it is that you won't react immediately, which makes it hard to diagnose.",2026-02-09T00:36:31Z,0,"His explanations are incomplete, there are many causes and allergies are just one of them, though it's the easiest to diagnose. It can be a sign of a problem with the immune system, which is harder to diagnose. I've never found the cause of mine, tested negative for allergies. If I had to mention 2 specific problems people miss, it would be celiac disease and alphagal syndrome. Celiac is the autoimmune disease where you can't have gluten, and it doesn't trigger an allergy test. Alphagal is an allergy to a sugar molecule in mammal meat that you get after a tickbite. What's unique about it is that you won't react immediately, which makes it hard to diagnose.",117,en,0.9999965962230744,0
Ugy3JroFj9_eE1hqimp4AaABAg,CR6zXU0eixw,UC2CsMNHiCh4dpy4TPpnOXNQ,I have to take querectin and it really helps,2026-02-07T11:44:14Z,0,I have to take querectin and it really helps,9,en,0.9999965391094824,Outlier
UgzCzJUO7rWmyc-DV4d4AaABAg,CR6zXU0eixw,UCEziFJH5ZXERGzN6--4cajg,Hives are discusting and don’t mean anything good.,2026-02-05T22:13:49Z,1,Hives are discusting and don’t mean anything good.,8,en,0.9999953072176831,0
UgwQC2rtrrhce1t71mx4AaABAg,CR6zXU0eixw,UCnWpshOwA_lAeGf7CKFA1ng,Ayurvedic skin detox support for urticaria is provided by Planet Ayurveda with Capsule Curcumin.,2026-01-29T05:17:06Z,0,Ayurvedic skin detox support for urticaria is provided by Planet Ayurveda with Capsule Curcumin.,14,en,0.9999962019837472,0
UgyhiLRmgtTbaUKAAnd4AaABAg,CR6zXU0eixw,UCRQnaF-cR_FwgdP6ZmjUwxQ,I’m on Minoxidil and finasteride for 3 months. Could that trigger hives?,2026-01-24T00:55:38Z,0,I’m on Minoxidil and finasteride for 3 months. Could that trigger hives?,12,en,0.9999967435598828,0
UgzusA1ynVVt4cE2o4h4AaABAg,CR6zXU0eixw,UCNdFww7wWBaygUhX0O_tnNg,What if  i noticed that ever since i stopped smoking weed i got hives . Idk how i got them but ever since i stopped hives been coming out,2026-01-21T04:06:19Z,0,What if i noticed that ever since i stopped smoking weed i got hives . Idk how i got them but ever since i stopped hives been coming out,29,en,0.9999947278741732,0
Ugx2OsZ9i3wL2tNWzmt4AaABAg,CR6zXU0eixw,UCHGVM8BAC3e2eQ6-A5YjtQg,"I have Hot to Cold. and Cold to Hot, hives from embarrassment, hives from sexual excitement, Hives from exercise and Dermagraphia.",2026-01-10T19:14:30Z,1,"I have Hot to Cold. and Cold to Hot, hives from embarrassment, hives from sexual excitement, Hives from exercise and Dermagraphia.",21,en,0.999996679321174,0
UgxtkcefiXQ5OCeLiBV4AaABAg,CR6zXU0eixw,UCgRXuGCiUIKjg3HH7ineIxw,Try the healing wonders of water- will flattened hives and relieved itchiness as well. Soak face washer on tap water and rub it in your skin until your hives flattened and itchiness relieved. Proven👍. My experience.,2026-01-10T11:24:27Z,0,Try the healing wonders of water- will flattened hives and relieved itchiness as well. Soak face washer on tap water and rub it in your skin until your hives flattened and itchiness relieved. Proven. My experience.,36,en,0.9999985641398332,0
Ugxh7vFLYkgDiFIJsrF4AaABAg,CR6zXU0eixw,UC3IdSh-2eM7ZzaORvSRLkNQ,"Dude I have it on my back,chest,the top of my armpits and my arm!!!!!😢",2025-12-29T04:50:17Z,0,"Dude I have it on my back,chest,the top of my armpits and my arm!!!!!",14,en,0.999996754262864,1
UgxDPaDex6bzb3DHqhF4AaABAg,CR6zXU0eixw,UC1Nh2plYYeNKug4CjXWx4-g,Can you get stress hives a few hours afterwards and be red and itchy and take over a week to clear?,2025-12-26T14:00:54Z,0,Can you get stress hives a few hours afterwards and be red and itchy and take over a week to clear?,21,en,0.9999946422546496,0
UgzOInrXRzflQGKlGQx4AaABAg,CR6zXU0eixw,UCog5P66rYwvu55INlmc1LVA,"Why aren't you people being honest!? Its parasites people!!!! Pay attention to your stool l, these people are not being honest",2025-12-24T01:35:41Z,1,"Why aren't you people being honest!? Its parasites people!!!! Pay attention to your stool l, these people are not being honest",21,en,0.9999934782752208,10
Ugx2rFtvWQXaJJSSgrl4AaABAg,CR6zXU0eixw,UC5Nt_5MbnEor0rsAhEXnW2w,The reason i get hives is because when i eat salmon i get itchy hives and it lasted about 20mints,2025-12-22T20:15:25Z,0,The reason i get hives is because when i eat salmon i get itchy hives and it lasted about 20mints,20,en,0.9999962075245188,0
Ugwb1iBNvMaOvG_gY6Z4AaABAg,CR6zXU0eixw,UC713SF0aGJBQ_07nue3RgCw,If your throat is closing go to the ER! AND THEN GET AN EPIPEN LATER,2025-10-12T07:51:12Z,0,If your throat is closing go to the ER! AND THEN GET AN EPIPEN LATER,15,en,0.9999969163185228,2
Ugz75o94LnRsgWvxZnp4AaABAg,CR6zXU0eixw,UClayHW3LxhCjA0R0MjbUZ1g,I have an fit from tj max and it got chemicals on it i didnt know and so i put it on and i have hives they spred know bc of them im on a stupie medication,2025-09-17T18:27:39Z,0,I have an fit from tj max and it got chemicals on it i didnt know and so i put it on and i have hives they spred know bc of them im on a stupie medication,37,en,0.9999960163695572,0
Ugz_QakdTE8haSuNE_94AaABAg,CR6zXU0eixw,UCqAU6eVsYKQISNc4QBnMcfA,Swimming in a pool of lava seems like a dream right at this minute,2025-09-10T14:47:38Z,0,Swimming in a pool of lava seems like a dream right at this minute,14,en,0.9999984025782058,1
UgydPbhbWmRNrHY9uRV4AaABAg,CR6zXU0eixw,UCCl-PhzggPww_E-jDOh3SIA,thanks for the claritan tip,2025-08-11T06:09:11Z,1,thanks for the claritan tip,5,en,0.9999958117189032,19
