Topic ID,Size,Size (%),Top Words,Representative Comments,Clinical Interpretation
Outlier,774,14.6%,"god, dr, good, skin, life, jesus, iyhere, allergy, sir, problem",I was searching for a solution for the scratches I was having when Dr Iyhere her... | I was searching for a solution for the Urticaria online when I came across Dr Iy... | I had a mesh repair on a femoral hernia. 9 day's later I was covered in itchy bu...,
0,1945,36.7%,"years, just, body, days, day, chronic, allergy, ve, skin, cold","Cheers for the Video! Forgive me for chiming in, I am interested in your opinion... | Appreciate Video clip! Apologies for butting in, I would appreciate your initial... | Excellent video content! Forgive me for butting in, I would appreciate your thou...",
1,606,11.4%,"disease, suffering, treatment, years, stress, medicine, don, cure, happened, months",I am this disease 5 year | I am suffering from this disease for the last 3 years. I am very depressed by th... | I m suffering this disease since 2 years.plz,
2,354,6.7%,"lip, swollen, lips, swelling, upper, woke, swell, face, swelled, just",I had a snuss and my upper lip it's swollen | I got a swollen upper lip out of nowhere. | I just woke up with a swollen lip,
3,333,6.3%,"itching, itchy, itch, red, skin, body, rash, just, water, bumps",I have it now very itching | allergy for itching in whole body simatenously itching | I got it just now and it's very itchy....,
4,231,4.4%,"lisinopril, medication, taking, bp, pressure, happened, medicine, blood, meds, took","This happened to me, top and bottom lip and also my tongue was swollen while I w... | I had this from lisinopril | My pastor's lips got like this when they took LISINOPRIL. MY DOCTORS TOOK ME OFF...",
5,104,2.0%,"herbal, iyhere, youtube, doctor, skin, medication, dr, medicine, rashes, africa","Hoping to see a new solution everyday that is not forthcoming can be tiring, i s... | Hoping to see a new solution everyday that is not forthcoming can be tiring, i s... | Doctor Iyhere on YouTube cured Me with his natural herbal medicine.",
6,100,1.9%,"dr, doctor, berg, love, patients, videos, app, doctors, marcus, paul",I read all the comments from the lovely viewers who sent them to you. I couldn't... | Thank you so much Dr.!!! | THANK YOU DR BERG,
7,90,1.7%,"hai, se, ho, mujhe, sir, hu, tulsi, ki, bhi, tha","Sir mujhe 7,8 years se hai pls koi medicine boliye | Sir age 19 Mujhe bhi Raat ke time mostly Pitti si khujli hoti hai Jaise koi macc... | Mam mujhe urticariya hua hai thik hi nhi ho raha hai december 2024 se huaa hai j...",
8,84,1.6%,"video, videos, great, sharing, informative, helpful, love, vids, understandable, brilliant","I think I found the video :D | We want full video | a really well done video, thanks",
9,75,1.4%,"angioedema, day, days, 20, ogled, inflammation, latest, angiodema, zormander, shane","Thanks for the info, watching my hives inflammation fade day after day until the... | Thanks for the info, watching my hives inflammation fade day after day until the... | Well done, watching my hives inflammation fade day after day until they complete...",
10,69,1.3%,"chocolate, milk, food, eat, drink, probiotics, water, acid, eating, diet","Just change your eating habits, i had this for a few days and had to just cleans... | a drastic strict change in diet along with supplements and regular prolonged fas... | The cure is eliminating oxalates! coffee is ok, but not with almond milk! Or bro...",
11,52,1.0%,"rn, right, 102, ithcy, literally, travelling, pin, ty, broo, lmao",Ohh I didn’t know what it was bc I have it rn | Im literally getting it rn | i have this rn,
12,51,1.0%,"covid, vaccine, vaccines, shot, vaccination, 2nd, did, shots, pfizer, auto",Could he have gotten the covid vaccine? If not could someone he was in contact w... | I have also never had this in entire life..but after taking covid vaccine it has... | What about after covid,
13,50,0.9%,"herpes, virus, herbal, dr, cured, hiv, cure, medicine, com, youtube","HOW I GOT CURED FROM HERPES VIRUS I was diagnosed of, thanks to @Dr_sirdoma1 HER... | Hello everyone I am here to give my testimony about a doctor Dr Eddymon who help... | I got a reference of herbal treatment from Dr Madida on YouTube that cured me of...",
14,38,0.7%,"makeup, brushes, clean, make, skin, dirty, brush, artists, artist, cleared","Wow! Maybe you should take your own makeup and skincare with you. A makeup artis... | This is why I always do my own makeup, some of these makeup artists are unsanita... | This happen to me when i was getting my prom makeup done, but i think its becaus...",
15,37,0.7%,"information, info, informative, news, knowledge, great, age, wow, awesome, nice",Thank you for your information | Thank you so much for the information! | Thank you for your information,
16,35,0.7%,"mcas, xolair, cell, mast, activation, mg, syndrome, 300, currently, works","I have MCAS, chronic hives, eosinophilic colitis…I finally found relief with xol... | Does this apply to mast cell activation syndrome? I have MCAS. I’m searching for... | Would this help with MCAS you think? Xolair is like $1500 a month",
17,34,0.6%,"bile, gallbladder, salts, keto, comments, steps, medical, section, low, salt",That’s great information but what do you recommend if you don’t have a gallbladd... | Did the bile salts help anyone? | Helpful videos mentioned in this video and a comment’s section disclaimer: 10 Si...,
18,34,0.6%,"skin, dermatographia, dermatographism, problem, mam, dermatologist, writing, hi, scratch, bug",I have dermatographism. It started in May slowly and no one knew what it was. Fr... | I have a question.. I think I have skin writing (self-diagnosed myself).. Whenev... | I have been diagnosed with dermatographia for years now and it’s the worst. I ge...,
19,33,0.6%,"helpful, helpfull, thanku, lecture, panicked, vedio, legit, detailed, ease, folks",I found this very helpful thank you | Helpful Thank u | Really very helpful,
20,23,0.4%,"ayurveda, planet, skin, eczema, products, jyovis, pranjal, iafa, happy, dr","Highly recommended Planet Ayurveda has the best products and treatments for skin... | Very nice... Planet Ayurveda has the best Ayurvedic herbal medicines for itching... | hello, very informative video on eczema sir. my younger sister was also sufferin...",
21,21,0.4%,"bites, mosquito, ants, bite, thought, ant, sheets, biting, massive, itch",I had this bites like this | Bro it looks like mosquito bites now it makes me itch | My dummy thought it was mosquito bites,
22,21,0.4%,"doc, po, sa, bless, explanation, god, sharing, information, explanations, power",Thank you Doc gobless | thank you Doc.. | Thanks doc :),
23,20,0.4%,"solution, problem, provided, solve, tell, end, direction, information, understood, plss",But what is solution? | Only one solution of it | What are the solution to it,
24,18,0.3%,"jop, sis, look, great, , , , , , ",U look beautifull | Thank you sis | thank great jop,
