Theme ID,Theme Name,Size,Size (%),Top Words,Representative Comments
1,Chronic lived experience & persistence,1012,19.1%,"years, months, suffering, just, chronic, ve, weeks, life, doctor, problem","I've had recurring hives for three years now, and nothing gets rid of them. At l... | Omg, I'm miserable at 2am. Woke up with hives on my chest and sides. It's been h... | they say it was incurable and that it could only be managed. He would try his be... | I have a question, has anyones blood pressure gone up since diagnosed? | I have asthma and mine was cause by using Albuterol. My doctor said it is very u..."
2,"Symptom phenotype: itch, wheals, rash, burning",1334,25.2%,"skin, body, just, itchy, itching, days, day, time, red, ve","In the past, the only time I had a hive was when I'd get a mosquito bite. No big... | I don't see the link for the bile salts? Can someone reply to me with the link? ... | I had a severe case of CIU about 35 years ago, although no one ever gave it that... | Doc it's happening now to my son it's been 2 days now and in his whole body how ... | Im allergic to the sun and its really annoying so my family call me vampire beca..."
3,Angioedema & airway/ER fear,434,8.2%,"lips, lip, swollen, swelling, just, face, upper, woke, angioedema, swelled",It happen the first time at night wasn’t asleep just notice I had swollen upper ... | It was on your forehead also | Please listen to the doctors and trust yourself. Self-confidence will help you g... | It's happens to especially when I go to sleep or when I'm asleep and wake up hav... | I don't eats things that make my lips swollen
4,Drug-induced angioedema (ACE/BP meds),116,2.2%,"medication, doctor, lisinopril, pressure, blood, taking, prescribed, took, don, bp","This is extremely scary . I take two different BP meds, Losartin and Metoprolol.... | any advice for someone like me who cant go outside during the summer without bre... | Thanks for educating us through this contents. Really appreciate. I have treated... | Fexofendodine none of the others | As someone who has urticaria I take medicine and it works a little bit I can tak..."
5,"Triggers & causal beliefs (food, cold, stress, infections)",780,14.7%,"allergic, allergy, cause, cold, water, just, food, don, stress, time","Itching skin general associated with not enough bowel movement. histamine is a s... | Dr. Berg, can you get Thicc on keto? Please, am curious and can't find info. | I had a reaction to my detergent :( | when i get this shit my wewe looks funky | My daughter was getting covered in hives, so we started paying attention to what..."
6,Conventional treatments & symptom control,674,12.7%,"doctor, dr, medicine, herbal, youtube, cure, treatment, iyhere, sir, rid","Hello everyone, all thanks to Dr Itepu on YouTube for helping me to get rid of m... | Is there any permanent solution for this | 50 hematology cases are waiting, as well as the answer to today's question...Go ... | Being between not knowing how to go about my skin care agency and how to get rid... | Thank you Doctor Paul. I learned!"
7,"Advanced therapy & biomedical (MCAS, Xolair, dermatographism)",40,0.8%,"xolair, mg, mcas, injection, works, chronic, just, 300, does, device","Does this work the same way as Xolair? | Could be huge for mastocytosis!! | Rhapsido fixed my CSU first dose. I only take once a day and is fine for me | Does it work for dermatographia?, | Can I have eustachian tube dysfunction (a clicking sound while swallowing) as a ..."
8,Alternative remedies & cure narratives (misinfo-prone),92,1.7%,"herbal, cured, youtube, doctor, iyhere, dr, skin, natural, herbs, different","Firstly, have these 3ingredients - patanjali cow ghee, bura sugar and black pepp... | LIVing with the HIV virus has been a nightmare for me and my family , lot's of s... | I had it for like 2weeks now it cleared up yesterday when I detox with turmeric ... | Hi guys, knowing about medical herbs isn't enough when you don't even know which... | Ayurvedic skin detox support for urticaria is provided by Planet Ayurveda with C..."
9,Vaccine narratives (COVID shots),51,1.0%,"covid, vaccine, shot, started, did, vaccines, shots, took, pfizer, 2nd","Is it dangerous to get a Covid vaccine if a person has this condition? | Has anyone experienced the onset of chronic urticaria that is idiopathic i.e no ... | Derp! Did you forget to mention the turbo cancer and heart failures from your “t... | I never had this before i catched covid, now it wont go away the rash, blood sho... | I take allergy shots and i just got the third shot of the red vile and i got a r..."
10,Non-clinical / meta / praise / religion (engagement),765,14.4%,"video, heard, things, google, great, good, trentvorty, victory, theorem, curing","Bangalore address please | Thank you so much | Thank you for your info | Thanks for the video content! Sorry for the intrusion, I would love your thought... | Another ellevinlabs channel why can't you use your real voice"
